Incident_ID,Incident_Text,Disaster_Type,Severity,Rainfall_mm,Humidity_percent,WindSpeed_kmph,Temperature_C,AQI,RiskScore
INC-00043,"Emergency responders rushed to New Extension, Kathmandu, after a methyl isocyanate leak from an industrial unit spread toxic fumes, leading to the evacuation of 4526 people within 3.0 km.",Chemical Leak,Medium,11.8,53.3,7.3,32.4,260.6,52.9
INC-00044,"Seismic activity along the Himalayan Frontal Thrust triggered a 3.5 magnitude quake near Athens, cracking building walls and damaging infrastructure; reports indicate 8 injuries so far.",Earthquake,Low,17,51.7,8.5,9.9,73.6,19
INC-00045,"Structural failure caused a high-rise residential tower to collapse in Civil Lines, Miami; officials say the 49-year-old building lacked recent safety inspections and 224 people are trapped.",Building Collapse,High,13.9,64.3,1.5,34.4,67.1,76
INC-00046,"Urban drainage failure during a heavy downpour led to waterlogging of 1.6 m in Civil Lines, Naples, disrupting traffic and affecting roughly 4696 residents.",Flood,High,302.9,94.5,19.9,23.4,38.4,97.6
INC-00047,"Unstable hillside terrain gave way above Hillview Township near Istanbul, sending 1681 cubic meters of earth and boulders down onto a key access road, blocking it for 66 hours.",Landslide,Medium,212.4,78.9,11.1,21.9,51.9,54.5
INC-00048,"Cyclone Amphan made landfall near Dhaka with sustained wind speeds of 85 km/h, uprooting trees and snapping power lines across the coastal belt within 19 hours of warning.",Cyclone,Medium,178.9,86.4,122.7,26,46.7,63.9
INC-00049,"An earthquake measuring 3.5 on the Richter scale jolted Coimbatore early this morning, with the epicenter traced to the Ring of Fire subduction zone; emergency services are treating 4 injured persons.",Earthquake,Low,27.5,77.5,7.4,30.8,115.3,23.1
INC-00050,"Residents of Imphal experienced strong shaking after a 5.7 magnitude earthquake hit the region at a depth of 11 km, with 58 people reported injured and several aftershocks expected.",Earthquake,Medium,6.7,53.6,23.6,7.1,121.7,57.6
INC-00051,"Coastal communities near Bangkok braced for Cyclone Asani, which brought gusts up to 51 km/h and forced mass evacuations along the shoreline.",Cyclone,Low,75,78.5,40.4,28,42.3,16.8
INC-00052,"A storage tank rupture at a chemical plant in Old Town, New Orleans, released a cloud of sulfuric acid, prompting evacuation of residents within a 7.0 km radius and affecting 37892 people.",Chemical Leak,High,6.9,39.9,5.4,24.5,322.5,88.9
INC-00053,"Slope failure following days of heavy rain caused a landslide near Visakhapatnam, with 3830 cubic meters of debris crashing into Harbor Front and cutting off mountain access for 21 hours.",Landslide,High,301.4,100,34.3,19.3,35.2,92.5
INC-00054,"Emergency responders rushed to Refinery Road, Chennai, after a nitric acid fumes leak from an industrial unit spread toxic fumes, leading to the evacuation of 412 people within 0.6 km.",Chemical Leak,Low,23.8,21.8,9.5,25.7,62,14.4
INC-00055,"Cyclone Fani made landfall near Bhubaneswar with sustained wind speeds of 124 km/h, uprooting trees and snapping power lines across the coastal belt within 2 hours of warning.",Cyclone,Medium,173,81.8,131.3,26.2,45.1,63.2
INC-00056,"A storage tank rupture at a chemical plant in Harbor Front, Cairo, released a cloud of benzene, prompting evacuation of residents within a 0.5 km radius and affecting 143 people.",Chemical Leak,Low,7.3,38.2,9.7,22.3,93.3,19.2
INC-00057,"Coastal communities near Manila braced for Cyclone Asani, which brought gusts up to 137 km/h and forced mass evacuations along the shoreline.",Cyclone,High,251,87.8,196.2,24.6,45.8,100
INC-00058,"A four-story residential building under heavy load collapsed in Port Area near Dehradun, burying 11 people under concrete debris as rescue crews use cranes and drilling equipment to reach survivors.",Building Collapse,Medium,49.4,44.3,10.3,21.8,92.1,42.9
INC-00059,"High-velocity winds of 107 km/h accompanying Cyclone Amphan battered Guwahati, toppling electricity poles and disrupting power supply for thousands of residents.",Cyclone,Medium,140,80.1,112.2,27.7,33.9,56.5
INC-00060,"Coastal communities near Istanbul braced for Cyclone Gulab, which brought gusts up to 78 km/h and forced mass evacuations along the shoreline.",Cyclone,Low,118.3,83.2,56.4,23.7,39.6,22.7
INC-00061,"Flash floods triggered by a sudden cloudburst inundated Industrial Estate Phase 2 near Shimla, sweeping away vehicles and leaving roads under 0.3 m of water; rescue teams evacuated 69 residents.",Flood,Low,43.9,75.2,9.6,25.6,65.9,20.8
INC-00062,"Workers reported a sudden pipeline leak of industrial solvent at a plant in Industrial Belt, Shimla, triggering a hazmat response and evacuation of 1541 people from a 2.8 km buffer zone.",Chemical Leak,Medium,12.4,38.6,7.3,25.2,203.9,50.6
INC-00063,"Thick smoke blanketed Port Blair as a wildfire burned through 139 hectares of dry grassland near Riverside Colony, prompting evacuation advisories for nearby residents.",Wildfire,Medium,2.8,21.2,40.3,35.6,275.1,57.2
INC-00064,"Continuous rainfall over the past two days has submerged low-lying parts of Riverside Colony, Dehradun, with waterlogging up to 0.8 m and 329 families displaced to relief camps.",Flood,Medium,144.8,75,18.8,24,25.5,55.4
INC-00065,"An earthquake measuring 4.8 on the Richter scale jolted Visakhapatnam early this morning, with the epicenter traced to the Anatolian Fault; emergency services are treating 90 injured persons.",Earthquake,Medium,24.5,35.5,18.6,12,120.5,51.8
INC-00066,"A storage tank rupture at a chemical plant in Gandhi Nagar, Darwin, released a cloud of chlorine gas, prompting evacuation of residents within a 0.8 km radius and affecting 301 people.",Chemical Leak,Low,22.3,60.5,11.8,26.8,82.4,19.9
INC-00067,"Authorities issued a red alert as Cyclone Remal approached Srinagar, packing wind speeds of 162 km/h and heavy rain bands that flooded low-lying coastal areas.",Cyclone,High,261.5,97.1,196.8,23.5,40.2,98.1
INC-00068,"A multi-level parking structure under heavy load collapsed in Old Town near Brisbane, burying 231 people under concrete debris as rescue crews use cranes and drilling equipment to reach survivors.",Building Collapse,High,50,90.7,9.9,30.9,15,76.7
INC-00069,"A lightning-sparked wildfire near Central District, Brisbane, has grown to 11922 hectares, with crews reporting only 15% containment due to shifting winds and arid conditions.",Wildfire,High,2.8,15.9,46.1,44,419.3,90
INC-00070,"Cyclone Remal made landfall near Mumbai with sustained wind speeds of 91 km/h, uprooting trees and snapping power lines across the coastal belt within 11 hours of warning.",Cyclone,Medium,142.5,84.5,121.4,24.6,35.1,57.1
INC-00071,"Strong winds and tinder-dry conditions allowed a brush fire near Imphal to spread rapidly across 19380 hectares, with containment efforts currently at 7%.",Wildfire,High,2.2,17.3,48.1,43.2,371.1,95
INC-00072,"The Nile river breached its banks after days of incessant rain, flooding Refinery Road in Cairo and cutting off access roads; local authorities report 470 people affected.",Flood,Medium,147,75.9,22.4,20.6,32,58.4
INC-00073,"Cyclone Amphan made landfall near Athens with sustained wind speeds of 120 km/h, uprooting trees and snapping power lines across the coastal belt within 12 hours of warning.",Cyclone,Medium,137,87.2,125.5,27.5,37.1,58.9
INC-00074,"Authorities issued a red alert as Cyclone Tauktae approached Athens, packing wind speeds of 73 km/h and heavy rain bands that flooded low-lying coastal areas.",Cyclone,Low,39.6,73.1,55.6,26.5,46.3,21.4
INC-00075,"Cyclone Amphan intensified rapidly before striking Kolkata, with wind speeds reaching 78 km/h and storm surges damaging fishing boats and coastal huts.",Cyclone,Low,25.8,81.1,60,28.7,47.7,20.4
INC-00076,"Emergency responders rushed to Civil Lines, Kolkata, after a benzene leak from an industrial unit spread toxic fumes, leading to the evacuation of 1444 people within 1.6 km.",Chemical Leak,Medium,13.1,69.9,8,17.6,187.1,46.9
INC-00077,"Urban drainage failure during a heavy downpour led to waterlogging of 0.5 m in Harbor Front, Osaka, disrupting traffic and affecting roughly 119 residents.",Flood,Low,37.8,70.1,10.8,28.7,57.6,19.5
INC-00078,"The national disaster agency confirmed tsunami waves of 4.4 meters hit the Darwin coast, sweeping through harbor settlements and forcing 193259 people into emergency shelters.",Tsunami,High,62.8,85,32.9,22.3,15.4,100
INC-00079,"Emergency responders rushed to New Extension, Mangalore, after a industrial solvent leak from an industrial unit spread toxic fumes, leading to the evacuation of 1018 people within 3.0 km.",Chemical Leak,Medium,0.7,62.9,7.2,34.7,264.1,53.7
INC-00080,"An earthquake measuring 4.2 on the Richter scale jolted Dehradun early this morning, with the epicenter traced to the Himalayan Frontal Thrust; emergency services are treating 10 injured persons.",Earthquake,Low,15.6,69.1,27.6,20.5,77,16.5
INC-00081,"A factory shed under heavy load collapsed in Industrial Belt near Hisar, burying 82 people under concrete debris as rescue crews use cranes and drilling equipment to reach survivors.",Building Collapse,High,84.6,39.6,22.9,14.2,52.4,75.8
INC-00082,"Urban drainage failure during a heavy downpour led to waterlogging of 2.0 m in MG Road area, Christchurch, disrupting traffic and affecting roughly 4255 residents.",Flood,High,277.1,93.6,32,22.1,49.5,92.4
INC-00083,"Thick smoke blanketed Manila as a wildfire burned through 19723 hectares of dry grassland near Industrial Belt, prompting evacuation advisories for nearby residents.",Wildfire,High,3.6,8.4,49,41.1,388.3,89.5
INC-00084,"Rescue operations are underway after a landslide struck MG Road area, Mangalore, releasing roughly 13568 cubic meters of rock and mud onto residential structures below.",Landslide,High,277.5,85.2,30.5,14.7,51.4,92
INC-00085,"Thick smoke blanketed Mangalore as a wildfire burned through 1107 hectares of dry grassland near Port Area, prompting evacuation advisories for nearby residents.",Wildfire,Medium,2.2,29.9,48.5,35.1,254.3,50.2
INC-00086,"Coastal communities near Mexico City braced for Cyclone Nisarga, which brought gusts up to 202 km/h and forced mass evacuations along the shoreline.",Cyclone,High,245.8,93.1,186.2,23.4,33.8,100
INC-00087,"Cyclone Nisarga intensified rapidly before striking Nagpur, with wind speeds reaching 88 km/h and storm surges damaging fishing boats and coastal huts.",Cyclone,Medium,119.6,81.5,125.1,27.9,45.5,58
INC-00088,"Cyclone Mocha intensified rapidly before striking Houston, with wind speeds reaching 83 km/h and storm surges damaging fishing boats and coastal huts.",Cyclone,Medium,157.9,82.9,132.3,29.3,28.2,55.2
INC-00089,"Part of a high-rise residential tower in Gandhi Nagar, Chittagong, gave way without warning, leaving 30 people trapped and prompting an emergency search-and-rescue operation.",Building Collapse,Medium,22.4,64.5,9.8,31.2,87.2,44.3
INC-00090,"Workers reported a sudden pipeline leak of chlorine gas at a plant in Industrial Belt, New Orleans, triggering a hazmat response and evacuation of 1296 people from a 1.4 km buffer zone.",Chemical Leak,Medium,9.9,45.6,10.5,16.5,219.1,50.4
INC-00091,"An undersea earthquake triggered tsunami waves up to 8.2 meters that struck the coastline near Lima, prompting the evacuation of 106077 residents from low-lying shore areas.",Tsunami,High,23.4,88.9,13.5,27.2,45.2,96.7
INC-00092,"A pressure valve failure at a chemical storage facility in Shastri Nagar released hydrogen sulfide into the air over Nagpur, with authorities evacuating 276 residents as a precaution.",Chemical Leak,Low,20,53.4,19,19.4,137.6,9.6
INC-00093,"A high-rise residential tower under heavy load collapsed in Port Area near Santiago, burying 32 people under concrete debris as rescue crews use cranes and drilling equipment to reach survivors.",Building Collapse,Medium,53.3,72.9,10.1,34,143.1,45.4
INC-00094,"Heavy monsoon rains caused the Narmada river to overflow, flooding Old Town in Visakhapatnam with water levels reaching 1.5 meters; around 447 households affected.",Flood,Medium,163.8,79.2,20.7,24.4,43.2,56.4
INC-00095,"Authorities issued a red alert as Cyclone Biparjoy approached Mumbai, packing wind speeds of 58 km/h and heavy rain bands that flooded low-lying coastal areas.",Cyclone,Low,46.1,72.4,49.3,28.4,46.8,20
INC-00096,"Rescue operations are underway after a landslide struck Hillview Township, Kochi, releasing roughly 6534 cubic meters of rock and mud onto residential structures below.",Landslide,High,315.5,89.3,21.2,19,61.1,96.8
INC-00097,"Rescue teams worked through the night after a commercial plaza in Refinery Road near Mexico City caved in, with around 7 people feared trapped inside the debris.",Building Collapse,Medium,0,74.7,9,16.4,61.2,45.2
INC-00098,"Workers reported a sudden pipeline leak of ammonia at a plant in Old Town, Lima, triggering a hazmat response and evacuation of 42531 people from a 7.8 km buffer zone.",Chemical Leak,High,43.4,43.8,5.4,36.9,327.1,87.5
INC-00099,"Workers reported a sudden pipeline leak of methyl isocyanate at a plant in Fishing Harbor, Patna, triggering a hazmat response and evacuation of 2955 people from a 2.0 km buffer zone.",Chemical Leak,Medium,0,43.2,7.8,35.3,239.8,47.7
INC-00100,"The national disaster agency confirmed tsunami waves of 5.6 meters hit the Ho Chi Minh City coast, sweeping through harbor settlements and forcing 180737 people into emergency shelters.",Tsunami,High,24.3,92.8,24,23.8,24.3,100
INC-00101,"Flash floods triggered by a sudden cloudburst inundated Industrial Belt near Tokyo, sweeping away vehicles and leaving roads under 1.0 m of water; rescue teams evacuated 379 residents.",Flood,Medium,146.2,85.8,25.1,26.3,47.9,52.5
INC-00102,"Forest fire crews are battling flames that have consumed 85 hectares of woodland close to Greenfield Township, Kochi, amid low humidity and gusty winds; containment stands at 96%.",Wildfire,Low,3,33.3,24.4,32.1,101.6,15.3
INC-00103,"Unstable hillside terrain gave way above Mining Belt near Cape Town, sending 11512 cubic meters of earth and boulders down onto a key access road, blocking it for 16 hours.",Landslide,High,317.4,87.4,28.8,14.9,71.6,98.5
INC-00104,"An industrial accident at a factory in New Extension near Srinagar caused a leak of methyl isocyanate, forcing emergency teams to evacuate 1174 residents within 1.2 km of the site.",Chemical Leak,Medium,24.5,56,10.2,18.7,220.5,54.8
INC-00105,"A tsunami generated by offshore seismic activity sent waves of 0.7 meters crashing into the Ho Chi Minh City coastline, damaging fishing harbors and displacing 451 residents.",Tsunami,Low,32.3,77.8,34.5,27.8,55.2,18.5
INC-00106,"A magnitude 5.0 earthquake struck near New Orleans, originating along the Sumatra Fault at a depth of 40 km; tremors were felt across the region and 92 people were injured.",Earthquake,Medium,30.3,82.6,0.9,26.8,61.3,54.4
INC-00107,"An earthquake measuring 7.5 on the Richter scale jolted Darwin early this morning, with the epicenter traced to the Anatolian Fault; emergency services are treating 2450 injured persons.",Earthquake,High,5,53.4,21.8,10.1,64.4,97.1
INC-00108,"An industrial accident at a factory in New Extension near Tokyo caused a leak of benzene, forcing emergency teams to evacuate 6918 residents within 6.9 km of the site.",Chemical Leak,High,1.8,45,5.5,33.3,349.9,89.7
INC-00109,"Rescue teams worked through the night after a bridge overpass in New Extension near Athens caved in, with around 285 people feared trapped inside the debris.",Building Collapse,High,82.2,54.8,19.3,22.1,69.4,80.5
INC-00110,"A magnitude 6.1 earthquake struck near Hisar, originating along the Sumatra Fault at a depth of 20 km; tremors were felt across the region and 50 people were injured.",Earthquake,Medium,3.4,63.5,10.5,33.6,35.8,56.5
INC-00111,"Thick smoke blanketed Santiago as a wildfire burned through 73 hectares of dry grassland near North Ridge, prompting evacuation advisories for nearby residents.",Wildfire,Low,2.9,32.4,35,32.1,125.9,15.9
INC-00112,"A tsunami generated by offshore seismic activity sent waves of 1.3 meters crashing into the Visakhapatnam coastline, damaging fishing harbors and displacing 1075 residents.",Tsunami,Low,21,75.9,13.4,21.7,54.2,18.4
INC-00113,"A massive landslide loosened by saturated soil swept through Sunset District in the hills near Visakhapatnam, burying a stretch of road under 192 cubic meters of mud and rock.",Landslide,Low,96.2,79.8,6,18,84.6,28.8
INC-00114,"Continuous rainfall over the past two days has submerged low-lying parts of Harbor Front, Mumbai, with waterlogging up to 1.4 m and 609 families displaced to relief camps.",Flood,Medium,208.7,76.9,11.4,23.7,36.8,53.7
INC-00115,"A storage tank rupture at a chemical plant in Civil Lines, Mumbai, released a cloud of nitric acid fumes, prompting evacuation of residents within a 2.4 km radius and affecting 1402 people.",Chemical Leak,Medium,25.3,40.5,13,25,251.4,52.8
INC-00116,"A massive landslide loosened by saturated soil swept through East End in the hills near Istanbul, burying a stretch of road under 76 cubic meters of mud and rock.",Landslide,Low,83.7,75.6,5.7,27.4,29.5,18.4
INC-00117,"Emergency responders rushed to Industrial Belt, Houston, after a industrial solvent leak from an industrial unit spread toxic fumes, leading to the evacuation of 474 people within 0.6 km.",Chemical Leak,Low,9.2,34.2,8.5,24.7,80.4,19.6
INC-00118,"Heavy monsoon rains caused the Tiber river to overflow, flooding MG Road area in Mexico City with water levels reaching 0.3 meters; around 26 households affected.",Flood,Low,27.7,70.8,12.7,21.7,59.9,20
INC-00119,"Seismic activity along the San Andreas Fault triggered a 6.6 magnitude quake near Port Blair, cracking building walls and damaging infrastructure; reports indicate 1341 injuries so far.",Earthquake,High,24.2,64,6.5,17.5,134.3,98.4
INC-00120,"A massive landslide loosened by saturated soil swept through Harbor Front in the hills near Lagos, burying a stretch of road under 1502 cubic meters of mud and rock.",Landslide,Medium,161.7,88.1,21,20.5,29.1,57.2
INC-00121,"An undersea earthquake triggered tsunami waves up to 0.8 meters that struck the coastline near Chennai, prompting the evacuation of 1202 residents from low-lying shore areas.",Tsunami,Low,3.2,76.4,10,29.8,54.7,11.4
INC-00122,"Continuous rainfall triggered a landslide on the hill slopes above Foothill Settlement near Kathmandu, dumping an estimated 1091 cubic meters of debris and blocking the highway for 71 hours.",Landslide,Medium,120.1,82.8,18.2,13.5,37.8,54.2
INC-00123,"A storage tank rupture at a chemical plant in Sector 12, San Francisco, released a cloud of industrial solvent, prompting evacuation of residents within a 0.4 km radius and affecting 250 people.",Chemical Leak,Low,18,47,15.3,19.5,86.4,21.3
INC-00124,"A wildfire fueled by dry vegetation and high temperatures has scorched 14811 hectares of forest near Coastal Road, Bangkok; firefighters report the blaze is 13% contained.",Wildfire,High,3,11.8,46.2,40.2,399.9,89.3
INC-00125,"Cyclone Mocha made landfall near Imphal with sustained wind speeds of 67 km/h, uprooting trees and snapping power lines across the coastal belt within 23 hours of warning.",Cyclone,Low,42.7,79.4,51.8,27.2,48.2,25.1
INC-00126,"A massive landslide loosened by saturated soil swept through Refinery Road in the hills near Kolkata, burying a stretch of road under 11774 cubic meters of mud and rock.",Landslide,High,295.1,90.3,23.6,16.4,21.8,93.2
INC-00127,"Cyclone Asani intensified rapidly before striking Chennai, with wind speeds reaching 156 km/h and storm surges damaging fishing boats and coastal huts.",Cyclone,High,244.8,89.3,190.9,24.5,26.5,96.5
INC-00128,"Slope failure following days of heavy rain caused a landslide near Mumbai, with 1652 cubic meters of debris crashing into Foothill Settlement and cutting off mountain access for 41 hours.",Landslide,Medium,162,87.4,14.7,22.7,78.6,56.1
INC-00129,"Structural failure caused a factory shed to collapse in North Ridge, Bangkok; officials say the 15-year-old building lacked recent safety inspections and 21 people are trapped.",Building Collapse,Medium,30.6,80.8,23.3,37.9,48.7,45.5
INC-00130,"The Cauvery river breached its banks after days of incessant rain, flooding Foothill Settlement in Kathmandu and cutting off access roads; local authorities report 40 people affected.",Flood,Low,31,65.9,5.9,23.4,51,24.3
INC-00131,"Coastal warning sirens sounded in Kathmandu as tsunami waves reaching 1.9 meters approached the shore, with civil authorities moving 10252 people to higher ground.",Tsunami,Medium,52.7,79.3,26.3,31.6,56.4,59.3
INC-00132,"Authorities issued a red alert as Cyclone Gulab approached Lima, packing wind speeds of 58 km/h and heavy rain bands that flooded low-lying coastal areas.",Cyclone,Low,36.1,76.4,47.6,27.5,40.6,22.4
INC-00133,"Urban drainage failure during a heavy downpour led to waterlogging of 3.2 m in Old Town, Patna, disrupting traffic and affecting roughly 1843 residents.",Flood,High,266.3,90.7,29.5,21.9,29.9,93.7
